name,Year,Team,P,P/PA,BatSwing_percent,contact_percent,BattingchanceSwing%,PA,AB,R,TB,RBI,AVG,OBP,SLG,wOBA,WAR,WPA,IsoP,IsoD,BIPA,Spd,PSN,wRC+,RAA-Adj,RP_Run,RAR,WAA,Chance_hit_per,RE24,WPA,PoilOut,PoilMissing,PoilOut%,salary
이용규,2016,한화,CF,4.13,44,93.5,8.6,530,452,98,196,41,0.352,0.438,0.434,0.404,4.31,3.44,0.082,0.086,0.371,6,5.25,128.1,18.2,30.2,50.4,1.8,0.374,28.46,3.44,0,0,1.38,90000
양성우,2016,한화,RF,3.81,43,85.5,9.5,446,384,52,136,53,0.271,0.347,0.354,0.324,0,0.47,0.083,0.076,0.314,5.3,4.44,76.1,-12.6,25.4,7.8,-1.6,0.318,4.38,0.47,1,0,0,8000
최진행,2016,한화,LF,3.72,41.1,75.4,8.8,85,70,4,28,9,0.329,0.434,0.4,0.389,0.31,0.3,0.071,0.105,0.415,1.4,0,118.2,-0.3,4.8,3.6,-0.1,0.412,1.85,0.3,0,0,0,17000
정근우,2016,한화,2B,3.59,40,85.2,7.6,650,575,121,267,88,0.31,0.381,0.464,0.381,4.37,3.71,0.155,0.071,0.318,5.5,19.8,112.5,16,37.1,55.3,1.6,0.388,23.13,3.71,2,1,4.6,70000
신성현,2016,한화,3B,4.12,45.1,65.8,9.6,184,158,30,76,24,0.278,0.36,0.481,0.363,0.38,0.48,0.203,0.081,0.375,3.1,0,100.6,-5.5,10.5,4.6,-0.5,0.192,1.12,0.48,0,0,0,5700
이성열,2016,한화,LF,3.72,52.6,65,10.5,219,198,29,100,29,0.288,0.35,0.505,0.374,0.81,0.53,0.217,0.062,0.373,4.2,0,107.5,1,12.5,11.1,-0.1,0.246,7.91,0.53,0,0,0,23000
로사리오,2016,한화,1B,3.61,45.9,76,9.4,532,492,78,292,120,0.321,0.367,0.594,0.411,3.01,3.53,0.272,0.046,0.337,2.5,1.94,131,20.7,30.4,38.1,0.7,0.348,38.53,3.53,0,0,5.56,150000
송광민,2016,한화,3B,3.51,56.1,78.6,9.4,494,449,80,228,83,0.325,0.366,0.508,0.381,2.95,2,0.183,0.04,0.367,3.8,5.1,112.3,14.1,28.2,43.5,1.4,0.328,26.33,2,0,0,0,20000
김준완,2016,NC,CF,4.51,30.7,85.8,5.2,325,253,60,78,12,0.261,0.416,0.308,0.36,1.18,0.38,0.047,0.155,0.34,4.2,1.33,102.6,-1,18.5,16.8,-0.2,0.179,0,0.38,0,0,0,7000
이종욱,2016,NC,CF,4.2,43,85.4,8.4,517,453,73,185,57,0.305,0.376,0.408,0.361,2.54,1.21,0.104,0.072,0.35,5.8,7.5,104.1,2.9,29.5,30.8,0.1,0.315,9.45,1.21,0,3,3.18,50000
